"Part","Value","Device","Package","Description","BUILT_BY","COPYRIGHT","DESCRIPTION","FLASH","HEIGHT","MANUFACTURER_NAME","MANUFACTURER_PART_NUMBER","MF","MOUSER_PART_NUMBER","MOUSER_PRICE-STOCK","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","POPULARITY","RAM","SPICEPREFIX","SUPPLIER","VENDOR",
"AT1","HX1178NL","HX1178NL","SOP254P1283X647-16N","Audio Transformers / Signal Transformers 10/100Base-T SMD 1-Port","","","Audio Transformers / Signal Transformers 10/100Base-T SMD 1-Port","","6.47mm","Pulse","HX1178NL","","","","","","","","","","","","",
"B2","","B25A-","B25A-","RECTIFIER","","","","","","","","","","","","","","","","","","","",
"C1","100NF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C2","100NF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C3","100NF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C4","100NF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C5","20P","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C6","20P","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C7","100NF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C8","","CENPC1206K","C1206K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C9","","CENPC1206K","C1206K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
"C11","1nF/1KV","CXC10B6","XC10B6","Condensateur","","","","","","","","","","","","","","","","","","","",
"C12","100NF","CENPC0603K","C0603K","Condensateur electrolytique non-polarisé","","","","","","","","","","","","","","","","","","","",
